484355,82079.2,69136,17842.9,26781,9812.05,12329.2,9635.85,8680.18,5869.94,6370.77,5279,5563.84,4310.69,5869.71,4340.18,4415.48,4678.67,2936.78,5325.19,3160.47,3922.57,4214.84,3536.95,2955.78,2784.46,3220.26,3402.05,1830.76,3581.55,3512.45,5044.17,3333,5044.22,3512.41,3581.47,1830.71,3402.14,3220.22,2784.54,2955.88,3537.03,4214.76,3922.49,3160.44,5325.17,2936.55,4678.67,4415.32,4340.39,5869.51,4310.72,5563.91,5279.17,6370.71,5870.12,8680.55,9636.3,12328.9,9812.19,26781.4,17842,69133.6,82081.1,
64762,45365.2,50407.8,14060.3,9738.77,5632.81,8330.04,2112.96,6285.03,3197.04,5191.83,3088.71,5532.61,3167.93,3475.7,2600.77,2754.43,2527.02,966.741,1279.44,2814.74,1770.19,1144.59,3106.52,2139.79,2726.17,1557.41,2780.33,1500.21,2007.26,1314.88,2102.13,1257.82,1023.84,1030.37,1843.43,1759.13,2223.72,1026.76,2577.63,1821.55,3121.46,1401.09,3714.22,2060.52,2069.72,1281.04,3226.39,2587.93,3066.6,3315.72,3946.82,3990.76,4551.87,2036.3,6073.63,6886.32,2098.11,13112,8753.99,12459.8,5411.64,23115.1,30283.4,
29510.4,29888.3,11469,7860.8,9325.1,6228.98,4843.49,4173.27,4710.03,4723.94,4344.67,2998.54,1033.24,1909.45,3153.65,1081.59,694.077,1565.01,2008.7,1309.54,1844.79,1954.1,1612.85,915.35,1057.1,1206.69,410.095,1127.55,1425.34,1085.92,1104.21,199.253,997.47,784.045,741.283,926.547,925.233,533.582,1114.97,1584.48,397.809,2242.46,1062.74,2656.43,781.324,1895.33,399.143,2459.29,1255.91,1751.45,1254.35,1885.6,2819.63,2017.46,1867.56,3458.33,3552.56,7248.17,930.432,7207.52,4067.46,5313.41,22117,7312.58,
23418.3,12535.5,16387.2,3128.88,9686.97,3832.69,5189.38,2755.1,1745.77,1797.78,636.196,1066.1,991.419,459.021,1174.69,1805.41,1015.82,1549.51,1115.99,1254.59,2223.21,510.925,262.948,723.984,1256,728.526,535.76,485.592,599.033,1534.02,479.935,748.986,908.691,263.085,993.347,1001.9,795.115,1098.81,545.298,344.517,1615.28,660.47,2308.5,961.082,1978.2,504.674,758.457,822.894,2517.75,881.77,1409.78,4706.16,2084.29,3052.78,2358.31,3781.22,1451.16,4274.75,3822.36,8365.42,4338.52,7466.62,1074,3927.86,
7686.52,3135.36,13078.9,5893.29,5618.02,5294.83,4969.98,4500.02,3069.46,1778,3374.09,2298.42,377.581,876.398,272.117,850.262,597.244,340.676,1398.15,853.806,1614.59,888.07,1031.26,568.892,686.713,1431.19,734.443,996.002,792.61,751.503,448.085,146.561,162.639,966.531,828.265,426.84,452.645,883.87,1600.73,614.457,484.184,844.287,536.761,1353.53,520.648,1033.02,792.768,1369.26,2300.55,1642.8,707.098,637.72,2312.47,1007.78,4260.56,1786.77,1866.05,1854.88,3418.37,7842.92,8767.54,5444.92,9236.34,14115.2,
8993.17,14538.4,3922.08,8908.34,2941.39,4949.25,1922.15,1818.14,4612.4,3067.12,2384.64,1821.75,737.089,942.637,821.191,1001.75,2132.94,1281.02,962.755,1230.82,596.504,1363.36,1046.26,766.54,613.481,950.789,603.783,1399.19,1099.75,888.823,768.176,302.462,385.825,689.371,527.912,462.632,428.817,757.077,404.042,1063.53,955.495,890.304,973.612,1053.56,1617.23,1345.13,2345.91,652.332,1115.37,464.147,1899.57,373.444,2061.9,1608.36,1203.62,4639.5,2183.35,6343.83,3922.2,6521.67,2790.48,5180.94,4578.6,15934.8,
2052.01,5844.64,9030.25,5692.39,5160.74,4173.73,3043.63,668.116,2384.07,1505.74,3138.29,1745.05,966.012,1597.87,2039.73,698.796,1338.7,553.04,148.717,1402.45,341.989,389.11,869.245,1100.76,198.016,1134.49,677.33,616.355,602.645,488.257,1295.32,979.47,1151.21,202.802,794.094,918.964,333.809,261.66,486.35,621.904,1002.92,886.588,938.242,210.339,459.23,720.172,932.3,1522.28,1121.57,2400.69,1620.92,2786.23,687.006,3041.53,2344.57,2674.68,4714.5,5580.58,2894.35,9646.49,2777.22,1390.84,5968.39,3626.48,
4246.58,5639.79,85.9355,4299.78,4275.69,3110.72,4158.09,410.994,1148.91,720.659,2566.9,2509.61,991.314,1592.36,429.687,1779.25,1399.68,1714.71,1235.94,328.856,855.513,1696.11,194.075,1102.07,1111.51,308.239,1244.05,787.85,767.367,612.573,539.559,922.932,997.938,1012.91,869.844,1068.59,1089.12,707.898,1104.17,173.424,964.754,1079.85,297.919,1563.18,328.413,1419.92,1428.3,2872.2,1241.8,2422.56,1983.12,3005.02,735.714,2266.66,3288.38,1677.57,3724.07,1793.96,3023.35,3260.47,3058.49,3429.98,3770.49,8443.99,
7307.56,7577.5,1150.11,2940,2274.32,2580.71,3298.74,3048.35,3786.02,2145.1,395.946,1968.5,1336.28,544.287,1155.95,1472.77,879.465,1487.74,2060.7,481.138,486.124,971.41,1841.63,2422.58,398.704,774.496,446.91,1484.48,1198.9,520.766,355.53,493.672,243.08,281.076,1224.99,733.596,743.224,475.834,1343.64,1274.44,838.819,1650.83,939.384,626.573,1680.57,262.837,2142.88,674.838,1633.81,1010.06,2781.1,1451.33,1915.54,3595.19,3938.71,1849.22,1737.01,3294.12,4595.33,3777.96,1945.32,2634.85,7682.3,4171.49,
6068.83,7564.25,3878.29,2113.95,1052.56,5469.45,4504.56,1466.97,2465.84,2114.44,1696.95,2342.65,704.927,1001.34,809.081,1575.58,273.469,673.836,1620.4,719.317,273.033,526.231,996.097,916.837,594.223,1724.64,470.349,568.974,580.918,427.298,1377.5,1306.46,675.138,874.78,881.529,444.564,833.825,918.575,836.465,869.671,1846.34,73.8884,964.264,216.165,1016.61,1599.3,298.096,1226.1,1322.97,1306.07,2184.45,3332.05,1286.73,1875.9,471.433,1357.66,2665.27,2166.24,1747.46,2090.03,3951.03,1284.02,2997.42,3990.54,
